 1,0
 2,0
 3,0
 4,0
 5,0
 6,0
 7,0
 8,0
 9,0
 10,0
 11,0
 12,1
 13,495
 14,371.3
 15,247.5
 16,123.8
 17,1
 18,1
 19,1
 20,1
 21,1
 22,435.755585358938
 23,1.05921636243995
 24,0.986629012637568
 25,0.857734777658199
 26,0.965549192305626
 27,1.016610716
 28,1.0005
 29,342.096080853041
 30,1.05905265809193
 31,0.986629012637568
 32,0.857734777658199
 33,1.01071082553944
 34,1.016610716
 35,1.0005
 36,228.498023569066
 37,1.05947552850184
 38,0.986629012637568
 39,0.857734777658199
 40,1.01236620046281
 41,1.016610716
 42,1.0005
 43,124.027061921906
 44,1.05867360446278
 45,0.986629012637568
 46,0.857734777658199
 47,1.09939826789279
 48,1.016610716
 49,1.0005
 50,0.201568912563142
 51,1
 52,0
 53,328874.246620295
 54,6722
 55,7225
 56,0
 57,7677
 58,9871
 59,0
 60,343010070.258131
 61,128.6
 62,0
 63,300567.224793932
 64,1.01653050423236
 65,1.00006340366213
 66,1.00394550223441
 67,0.897614221975412
 68,0.998116288
 69,0.9995
 70,0.0
 71,0.998169255012678
 72,0.201568912563142
 73,0
 74,0
